,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone0_mass_flow_rate,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone1_mass_flow_rate,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone2_mass_flow_rate,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone3_mass_flow_rate,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone4_mass_flow_rate,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,Zone5_mass_flow_rate,central_loop_P_cp,central_loop_mass_flow_rate,GHE0_P_cp,GHE0_mass_flow_rate,GHE1_P_cp,GHE1_mass_flow_rate,GHE2_P_cp,GHE2_mass_flow_rate
1,24886.7982037406,13743.988816659676,2760.8784944287854,10.24110831417202,5125.795885005929,-0.0,220.09842278994265,0.7511115207529832,7413.770747502624,659.7241368346855,386.8629794498644,2.200358345252195,234.7314870774946,-0.0,10.079221109061894,0.03439651679130064,4213.867948486028,141.77342289999996,130.69856128167976,1.1737475620909652,2095.006144216727,-0.0,89.95823447168094,0.3069929599757461,1019.0619860826009,22.061572828552816,83.56190350192252,11.030786414276408,44.566348534358674,5.8830860876140845,38.99555496756381,5.147700326662323
2,25125.503978073782,13554.259515531237,2776.1448997163716,10.297736996105582,5167.618450635622,-0.0,222.10753784284526,0.7579678600380385,7459.031899623986,655.913100729306,389.31402669734865,2.2142991525976763,236.91981639422636,-0.0,10.184384331015789,0.03475539854323604,4245.69034640856,0.8436592347139307,126.73233129696224,1.1381285565747443,2114.798346673614,-0.0,90.90941347856113,0.3102389691988469,1028.5305645147102,22.129690399587183,84.07871355324343,11.064845199793591,44.84198056172983,5.901250773223249,39.2367329915136,5.163594426570342
3,3787.9887295038257,13524.333143380047,1307.8424367672594,4.851266029936348,5174.315704877395,-0.0,222.4302148774001,0.7590690330272146,7469.513473744926,655.0585459579477,389.8799237473897,2.217517801997477,237.2123093636792,-0.0,10.19848719675136,0.03480352621628043,4251.177934146207,0.8428309700183265,126.92974086703612,1.1399014070126943,2117.632572688714,-0.0,91.04608476011055,0.3107053758764895,258.744180797015,13.969894761099756,33.50592800243366,6.984947380549878,17.86982826796462,3.7253052696266016,15.636099734469042,3.2596421109232763
4,3764.678298694141,13645.146359868637,1308.5454462293987,4.853873749204756,5043.126778968503,-0.0,216.15317895955022,0.7376479163544388,7355.766235651297,6382.024148018361,706.384511631233,4.017699127828047,234.510974728517,-0.0,10.068656361248538,0.03436046335804167,4211.254825013866,0.8491048378999461,125.49002959886035,1.1269719793696902,2102.49534806644,-0.0,90.31751009472468,0.3082190299137911,435.5518577143464,16.618158399043146,47.41340773693478,8.309079199521573,25.28715079303187,4.431508906411506,22.126256943902888,3.8775702931100677
5,3735.44264316282,13802.884284429128,1309.5311057164463,4.857529920813944,5027.052900386484,-0.0,215.38941702025613,0.73504148971837,7338.878885459588,666.487006017432,382.7778526302201,2.177123392913772,231.8400817472233,-0.0,9.941108443374008,0.03392519122228881,4174.724349810077,0.8553760579207678,124.16454574475182,1.1150683790003042,2084.181930741204,-0.0,89.44024888171715,0.3052252737775713,251.36838248367775,13.835870471169375,32.86611398797127,6.917935235584688,17.52859412691801,3.6895654589785,15.33751986105326,3.2283697766061876
6,3763.3442525905707,13652.190881439672,1308.5878641217118,4.854031092684564,5040.692249249962,-0.0,216.0374399446054,0.7372529434762886,7350.254140419711,665.4212867153851,383.40092203240073,2.1806672211723175,234.36618679149254,-0.0,10.061722600549677,0.03433680109151089,9989.60092921553,0.8494842104255894,297.60026491345496,2.672619973734602,2101.5156534039734,-0.0,90.27046866927593,0.3080584955666599,402.03416235187825,16.180449791588916,44.94864066251081,8.090224895794458,23.972608353339112,4.314786611090378,20.976032309171714,3.7754382847040806
7,3777.9005182456335,13576.094370733359,1308.137898878629,4.8523620069927,5071.524307421473,-0.0,217.50494244144815,0.7422609667875885,26548.79138640531,664.1389206359408,1287.2181969248668,7.321303542127045,234.55614987454354,-0.0,10.070820246852467,0.03436784786987097,9994.985093859721,0.8491099588866604,297.79505354001043,2.6743692866061473,2111.6988605807255,-0.0,90.76008880204607,0.30972938133610145,1295.9001504404196,23.90158954757918,98.08191809117639,11.95079477378959,52.31035631529408,6.3737572126877815,45.77156177588232,5.577037561101809
8,3817.5283039080405,13377.20687119912,1307.051921695239,4.848333720349785,5144.45539292926,-0.0,220.99358285428272,0.7541663588055281,7428.70203566429,658.4448179756624,387.67293597651224,2.204965130334695,238.660515927885,-0.0,10.268489066999848,0.03504241575738394,10140.727095495336,0.8396931135633304,303.04323276924765,2.721500926888381,2134.258645984698,-0.0,91.85036461547534,0.3134500746236068,412.2373002444625,16.31618794013907,45.70595422085149,8.158093970069535,24.376508917787458,4.350983450703752,21.329445303064027,3.807110519365783
9,3796.600082905135,13480.768378396973,1307.6006253232404,4.850369062831565,5092.804915694428,-0.0,218.52019526994766,0.7457256353949179,7398.893697595324,661.0210123924853,386.05454960350033,2.1957602434603727,235.5385173257598,-0.0,10.117934782356905,0.034528631713588394,4230.763067271536,0.8459665133152188,126.1945861320008,1.1332992985461163,2120.6649955895846,-0.0,91.19244939351017,0.3112048622471037,255.22836067669326,13.906331601290496,33.201717052043115,6.953165800645248,17.70758242775633,3.7083550936774654,15.494134624286794,3.2448107069677827
10,3762.963290687087,37344.61689152725,3130.3637009362146,11.611664109351874,5040.793378016094,-0.0,216.04224722576444,0.7372693488835436,7349.2656543682315,665.5133318477704,383.34681724124766,2.1803594896625693,234.33051222670125,-0.0,10.060014543789537,0.03433097214873893,4208.423435637363,0.849572218081565,125.38759223536584,1.1260520334690651,2101.2247672741632,-0.0,90.25650389423971,0.3080108391442218,1311.404091619554,23.99653018899002,98.86265733330858,11.99826509449501,52.726750577764584,6.399074717064006,46.13590675554399,5.599190377431005
11,3684.4959285311706,14095.57037448163,1311.5449809939719,4.865000120929591,4882.524278766865,-0.0,208.55073118700324,0.7117036772476794,7173.799832770568,683.6983372140912,373.60891508765417,2.124973279538823,228.65023104712574,-0.0,9.789609541500596,0.03340818356209695,4120.693925614635,0.8656767962182861,122.18641642989905,1.0973036504674083,2056.824001306686,-0.0,88.13692612980411,0.3007775329813746,244.0220561166101,13.699749667090458,32.22260480361867,6.849874833545229,17.185389228596634,3.653266577890789,15.037215575022051,3.19660825565444
12,3761.990792063051,13659.35261340599,1308.6311450595338,4.85419163751588,9533.10046640196,-0.0,408.5542939507523,1.3942391460586754,7345.805592870085,665.8363656498199,383.15737313563807,2.179281989511664,234.25303680318987,-0.0,10.056305604579974,0.03431831496140082,4207.014659547755,0.8498059083091951,125.33660622409185,1.1255941500321953,2100.7061137434785,-0.0,90.23160739546219,0.3079258769403988,310.3737077561383,14.843326672530324,37.82664930359131,7.421663336265162,20.174212961915362,3.9582204460080863,17.652436341675944,3.4634428902570757
13,3761.608221426105,13661.379644609906,1308.6434238538952,4.854237184055967,9547.28263049766,-0.0,409.22852633106,1.3965400426398251,7353.960600584079,665.0770998538284,383.60373044772575,2.1818207334307984,667.1329974241218,-0.0,28.641232001375702,0.097741542406797,4208.36442524048,0.8495819915666665,125.38545678473437,1.1260328559054555,2100.644531513398,-0.0,90.22865155771447,0.3079157897995749,316.8865446867727,14.946432222357629,38.353981651380685,7.4732161111788145,20.455456880736367,3.9857152592953677,17.898524770644322,3.4875008518834467
14,3762.2431146703148,13658.016343716736,1308.6230574918436,4.854161637768741,9549.843450101609,-0.0,409.3503128022466,1.3969556531672453,7355.5284975732475,664.9319523335504,383.68949133210083,2.182308515120065,667.234761951094,-0.0,28.646104881971965,0.0977581716797773,4209.581348022504,0.8493807105363589,125.42949026006784,1.126428301607506,4030.025508903436,-0.0,173.10594905055487,0.5907442270353789,344.7685473130711,15.372534759568069,40.57199370658834,7.686267379784034,21.63839664351378,4.099342602551485,18.933597063074558,3.5869247772325497
15,3769.4245605406168,13620.199357039275,1308.3964724883085,4.853321151101816,9569.727502325683,-0.0,410.296412545844,1.4001843288123939,7367.10280733203,663.8686683972329,384.3220281525001,2.1859061911588116,668.0740956892081,-0.0,28.686311292497187,0.09789538074184513,4213.924564020638,0.8486669357025853,125.58657572401569,1.1278390185927631,2102.932424571106,-0.0,90.33850120512797,0.30829066452460496,317.76018258354077,14.96015510239835,38.42444244118969,7.480077551199175,20.4930359686345,3.989374693972893,17.931406472555192,3.4907028572262817
16,3766.176697013847,13637.251056927596,1308.4980884816534,4.8536980819940645,9558.168052542758,-0.0,409.74630379976946,1.3983070185999624,7365.9759415397875,663.971557469067,384.2604874127756,2.1855561662471015,234.7091695823162,-0.0,10.078151622233943,0.03439286704284908,4214.021617993603,0.8486510673701391,125.59008472352998,1.127870531408091,2103.196156402251,-0.0,90.35116851261638,0.3083338931878133,311.56151622641323,14.862237837719821,37.92309691580521,7.4311189188599105,20.22565168842944,3.963263423391952,17.697445227375766,3.4678554954679583
17,3765.4245786948186,13641.21183278577,1308.5218218493292,4.8537861177368615,5050.020097601838,-0.0,216.48101380328131,0.7387666909685834,7365.11544941046,664.0502164688468,384.21348781982766,2.1852888469323575,234.69330210537575,-0.0,10.077391264814993,0.034390272234535495,4213.056464415973,0.8488090286114262,125.55518705118789,1.1275571304231642,2102.8038061697375,-0.0,90.33232388193017,0.30826958368921115,253.3475389244501,13.872087962977073,33.038403277469065,6.936043981488536,17.620481747983494,3.699223456793886,15.417921529485563,3.23682052469465
18,2364.477403450645,15146.208659498154,1326.9992908147372,4.9223258095155265,5102.694196521881,-0.0,218.6905761437285,0.7463070799849815,5842.785889519536,806.3418344868069,320.38549720508297,1.822254751476777,237.98473082407935,-0.0,10.216673300561395,0.03486558841516481,3126.6562174243604,7.852348003478501,93.41473989664675,0.8389175989530953,2130.1306726581824,-0.0,91.49626820558373,0.3122416793540928,209.2476647955131,13.015368761549455,29.083611640129405,6.5076843807747276,15.511259541402353,3.4707650030798547,13.572352098727057,3.036919377694873
